image,num_faces,gpu_upload_ms,gpu_gray_ms,gpu_download_ms,face_detect_ms,landmarks_ms,save_ms,total_ms
lfw-deepfunneled/lfw-deepfunneled/Max_Biaggi/Max_Biaggi_0001.jpg,2,15.3521,0.050815,1.24819,9.57339,19.9478,63.9565,110.129
lfw-deepfunneled/lfw-deepfunneled/George_W_Bush/George_W_Bush_0358.jpg,1,0.866409,0.050142,1.07312,10.7679,10.2535,54.3192,77.3303
lfw-deepfunneled/lfw-deepfunneled/Ricardo_Lagos/Ricardo_Lagos_0019.jpg,1,1.70536,0.052343,1.29547,11.2512,6.19454,30.9979,51.4968
lfw-deepfunneled/lfw-deepfunneled/Celine_Dion/Celine_Dion_0001.jpg,1,1.69619,0.05113,1.13514,15.963,6.49069,55.939,81.2751
lfw-deepfunneled/lfw-deepfunneled/Gerhard_Schroeder/Gerhard_Schroeder_0064.jpg,1,1.28742,0.055669,1.1032,10.823,10.3907,29.0681,52.7281
lfw-deepfunneled/lfw-deepfunneled/Silvio_Berlusconi/Silvio_Berlusconi_0026.jpg,1,1.2428,0.076871,2.72941,13.9211,10.1855,21.1536,49.3092
lfw-deepfunneled/lfw-deepfunneled/Jean_Chretien/Jean_Chretien_0015.jpg,1,1.64809,0.049797,1.29364,11.4478,10.1886,33.7211,58.3491
lfw-deepfunneled/lfw-deepfunneled/Guillermo_Coria/Guillermo_Coria_0004.jpg,1,1.80352,0.052046,0.839006,13.241,10.0304,19.5787,45.5447
lfw-deepfunneled/lfw-deepfunneled/Atom_Egoyan/Atom_Egoyan_0001.jpg,1,3.28056,0.052229,1.14849,10.8985,10.0719,7.57657,33.0282
lfw-deepfunneled/lfw-deepfunneled/Hamid_Karzai/Hamid_Karzai_0007.jpg,1,2.1819,0.052378,1.08923,8.52014,10.1109,63.1644,85.119
lfw-deepfunneled/lfw-deepfunneled/Allan_Kemakeza/Allan_Kemakeza_0001.jpg,1,1.36807,0.04257,1.17998,13.1633,7.13998,85.3575,108.251
lfw-deepfunneled/lfw-deepfunneled/Piotr_Anderszewski/Piotr_Anderszewski_0001.jpg,1,1.68179,0.050496,1.40618,7.94793,9.93131,35.2696,56.2873
lfw-deepfunneled/lfw-deepfunneled/Janice_Goldfinger/Janice_Goldfinger_0001.jpg,1,1.63038,0.052444,3.50261,7.34017,10.3676,71.9599,94.8531
lfw-deepfunneled/lfw-deepfunneled/Jay_Leno/Jay_Leno_0001.jpg,1,1.45787,0.040358,1.37554,8.66132,6.38305,28.2728,46.1909
lfw-deepfunneled/lfw-deepfunneled/Recep_Tayyip_Erdogan/Recep_Tayyip_Erdogan_0010.jpg,1,12.2033,0.048134,1.26323,13.8582,9.96527,5.88216,43.2203
lfw-deepfunneled/lfw-deepfunneled/Colin_Powell/Colin_Powell_0024.jpg,1,0.858545,0.054611,1.195,13.0918,9.93366,13.4002,38.5338
lfw-deepfunneled/lfw-deepfunneled/George_W_Bush/George_W_Bush_0048.jpg,1,1.2663,0.053708,1.10547,11.2553,9.92027,18.1192,41.7203
lfw-deepfunneled/lfw-deepfunneled/Ted_Washington/Ted_Washington_0001.jpg,1,31.229,0.048625,1.37462,8.75546,10.1975,30.3244,81.9296
lfw-deepfunneled/lfw-deepfunneled/Carlos_Barra/Carlos_Barra_0001.jpg,1,1.65327,0.051664,1.16306,12.685,9.96465,5.67034,31.188
lfw-deepfunneled/lfw-deepfunneled/Joschka_Fischer/Joschka_Fischer_0001.jpg,1,2.57639,0.053023,1.39647,10.6337,9.98622,5.61334,30.2591
lfw-deepfunneled/lfw-deepfunneled/Andy_Garcia/Andy_Garcia_0001.jpg,1,2.07252,0.053363,1.19765,16.9985,9.86153,6.31166,36.4953
lfw-deepfunneled/lfw-deepfunneled/Carolina_Kluft/Carolina_Kluft_0003.jpg,1,1.64981,0.056772,0.983567,10.2841,10.6518,49.9194,73.5455
lfw-deepfunneled/lfw-deepfunneled/Peter_Gabriel/Peter_Gabriel_0001.jpg,1,1.66489,0.052416,1.34298,10.1543,6.53694,29.5336,49.2851
lfw-deepfunneled/lfw-deepfunneled/Yossi_Beilin/Yossi_Beilin_0001.jpg,1,3.82974,0.053474,0.907599,14.3284,7.41466,10.22,36.7538
lfw-deepfunneled/lfw-deepfunneled/Peter_Harrison/Peter_Harrison_0001.jpg,1,1.59917,0.05326,1.19077,14.6964,10.1499,16.643,44.3325
lfw-deepfunneled/lfw-deepfunneled/Donald_Fehr/Donald_Fehr_0004.jpg,1,17.6575,0.037789,1.17721,8.88382,6.59067,38.7081,73.0551
lfw-deepfunneled/lfw-deepfunneled/Steven_Van_Zandt/Steven_Van_Zandt_0001.jpg,1,41.4819,0.047751,5.80179,14.2406,9.9856,38.684,110.242
lfw-deepfunneled/lfw-deepfunneled/Saddam_Hussein/Saddam_Hussein_0005.jpg,1,1.64863,0.05671,1.16677,13.1245,10.088,15.5081,41.5928
lfw-deepfunneled/lfw-deepfunneled/Bob_Goldman/Bob_Goldman_0001.jpg,1,3.02205,0.053878,1.30801,17.0648,6.4253,6.10029,33.9743
lfw-deepfunneled/lfw-deepfunneled/Mauricio_Pochetino/Mauricio_Pochetino_0001.jpg,2,3.81293,0.044247,3.16142,11.6067,28.1778,49.4305,96.2336
lfw-deepfunneled/lfw-deepfunneled/Lucy_Liu/Lucy_Liu_0004.jpg,1,42.8381,0.062384,1.16501,9.09338,13.2876,26.3955,92.842
lfw-deepfunneled/lfw-deepfunneled/Simon_Larose/Simon_Larose_0001.jpg,1,45.8339,0.038892,5.90599,11.8016,10.0974,46.5688,120.247
lfw-deepfunneled/lfw-deepfunneled/Catherine_Zeta-Jones/Catherine_Zeta-Jones_0001.jpg,1,0.832343,0.049709,1.01928,16.7952,10.1322,13.4761,42.3049
lfw-deepfunneled/lfw-deepfunneled/Nestor_Kirchner/Nestor_Kirchner_0014.jpg,1,0.8701,0.041106,1.241,12.8572,9.98847,37.1435,62.1414
lfw-deepfunneled/lfw-deepfunneled/Renee_Zellweger/Renee_Zellweger_0011.jpg,1,2.18028,0.040529,1.33665,17.0458,6.49341,9.30785,36.4046
lfw-deepfunneled/lfw-deepfunneled/Aicha_El_Ouafi/Aicha_El_Ouafi_0001.jpg,1,1.44577,0.038366,1.16283,9.82134,6.66986,44.0774,63.2156
lfw-deepfunneled/lfw-deepfunneled/Simona_Hradil/Simona_Hradil_0001.jpg,2,46.3205,0.039665,1.48302,14.0024,12.5175,42.0245,116.387
lfw-deepfunneled/lfw-deepfunneled/Jacques_Chirac/Jacques_Chirac_0020.jpg,1,9.07778,0.046264,1.11495,8.00386,10.0739,11.514,39.8308
lfw-deepfunneled/lfw-deepfunneled/Hamid_Karzai/Hamid_Karzai_0006.jpg,1,0.885329,0.051266,1.23168,10.9168,10.081,14.1689,37.3349
lfw-deepfunneled/lfw-deepfunneled/Prince_Naruhito/Prince_Naruhito_0003.jpg,1,5.86611,0.050923,1.31423,12.4715,6.39368,30.3177,56.4141
lfw-deepfunneled/lfw-deepfunneled/Zoran_Djindjic/Zoran_Djindjic_0004.jpg,1,2.09456,0.056713,1.11717,10.7795,10.602,45.4562,70.1062
lfw-deepfunneled/lfw-deepfunneled/George_W_Bush/George_W_Bush_0219.jpg,1,1.05076,0.042993,1.27072,9.84186,10.3901,20.2008,42.7972
lfw-deepfunneled/lfw-deepfunneled/Tippi_Hedren/Tippi_Hedren_0002.jpg,1,1.66435,0.05326,1.3494,8.39864,9.97135,25.3103,46.7473
lfw-deepfunneled/lfw-deepfunneled/Jean_Charest/Jean_Charest_0011.jpg,1,0.865781,0.057743,1.16269,14.1751,12.0542,59.5922,87.9077
lfw-deepfunneled/lfw-deepfunneled/Erwin_Abdullah/Erwin_Abdullah_0001.jpg,1,1.75738,0.051252,1.15539,12.5079,9.85198,33.9964,59.3203
lfw-deepfunneled/lfw-deepfunneled/Job_Cohen/Job_Cohen_0002.jpg,2,1.71435,0.051423,1.33644,19.5115,19.8052,53.8592,96.2781
lfw-deepfunneled/lfw-deepfunneled/Paul_LeClerc/Paul_LeClerc_0001.jpg,1,45.0499,0.049721,1.33255,15.1784,10.1047,17.899,89.6143
lfw-deepfunneled/lfw-deepfunneled/James_Kelly/James_Kelly_0002.jpg,1,2.1804,0.059128,1.44657,7.85663,10.3292,11.8422,33.7141
lfw-deepfunneled/lfw-deepfunneled/John_Negroponte/John_Negroponte_0013.jpg,1,2.19083,0.056297,1.2291,11.1063,10.0434,6.27492,30.9009
lfw-deepfunneled/lfw-deepfunneled/Colin_Powell/Colin_Powell_0130.jpg,1,1.0453,0.055663,1.24819,10.4265,10.3378,22.0731,45.1865
lfw-deepfunneled/lfw-deepfunneled/Michael_Fitzgerald/Michael_Fitzgerald_0001.jpg,1,2.87526,0.05361,1.35866,9.3573,10.5856,28.8791,53.1095
lfw-deepfunneled/lfw-deepfunneled/Jim_Otto/Jim_Otto_0001.jpg,1,13.7797,0.046999,1.00745,10.3975,7.24441,7.79914,40.2753
lfw-deepfunneled/lfw-deepfunneled/Adrien_Brody/Adrien_Brody_0008.jpg,1,2.1652,0.043561,1.11843,13.5317,6.95986,17.442,41.2608
lfw-deepfunneled/lfw-deepfunneled/Jon_Constance/Jon_Constance_0001.jpg,1,10.8396,0.038834,3.12524,6.46537,10.6778,22.7362,53.8831
lfw-deepfunneled/lfw-deepfunneled/Gary_Bauer/Gary_Bauer_0001.jpg,1,1.75125,0.037915,1.06743,14.4497,7.50644,16.1057,40.9185
